"","DIVISION","DISTRICT","num.x","meanAs.x","meanAs50ppb.x","std50ppb.x","se50ppb.x","lb50ppb.x","ub50ppb.x","meanAs10ppb.x","std10ppb.x","se10ppb.x","lb10ppb.x","ub10ppb.x","num.y","meanAs.y","meanAs50ppb.y","std50ppb.y","se50ppb.y","lb50ppb.y","ub50ppb.y","meanAs10ppb.y","std10ppb.y","se10ppb.y","lb10ppb.y","ub10ppb.y"
"27","Dhaka","Netrokona",76,40.2565789473684,0.276315789473684,0.450146175089124,0.101205202804956,0.175110586668728,0.37752099227864,0.565789473684211,0.498946258048953,0.112176799513226,0.453612674170985,0.677966273197436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Dhaka","Rajbari",34,48.7529411764706,0.235294117647059,0.430561545202046,0.14472776380509,0.0905663538419692,0.380021881452148,0.470588235294118,0.506640397104899,0.170300698107877,0.300287537186241,0.640888933401994,191,26.9895287958115,0.0732984293193717,0.261310684108206,0.0370592439220084,0.0362391853973633,0.11035767324138,0.345549738219895,0.476796973660736,0.0676196436761529,0.277930094543742,0.413169381896048
"29","Dhaka","Shariatpur",49,150.920408163265,0.653061224489796,0.48092880658867,0.134660065844828,0.518401158644968,0.787721290334624,0.755102040816326,0.434483037878444,0.121655250605964,0.633446790210362,0.876757291422291,197,13.3248730964467,0.0355329949238579,0.185594316134118,0.0259171731373957,0.00961582178646221,0.0614501680612535,0.121827411167513,0.327919711832118,0.0457920917178107,0.076035319449702,0.167619502885323
"30","Dhaka","Sherpur",51,22.2725490196078,0.117647058823529,0.325395686727984,0.0893064395125475,0.0283406193109819,0.206953498336077,0.450980392156863,0.502542555021804,0.137925264910022,0.31305512724684,0.588905657066885,182,20.4945054945055,0.043956043956044,0.205562852809017,0.0298651715384157,0.0140908724176282,0.0738212154944597,0.346153846153846,0.477055353659027,0.0693089231622177,0.276844922991628,0.415462769316064
"31","Dhaka","Tangail",91,20.2505494505494,0.0879120879120879,0.284735809259182,0.0585029093383563,0.0294091785737316,0.146414997250444,0.450549450549451,0.500305157184343,0.102794612761984,0.347754837787467,0.553344063311435,198,23.6111111111111,0.0707070707070707,0.256984672458662,0.0357956866235911,0.0349113840834796,0.106502757330662,0.383838383838384,0.487552068432602,0.0679116808303203,0.315926703008063,0.451750064668704
"32","Khulna","Bagerhat",62,156.298387096774,0.596774193548387,0.494549883752722,0.123103480167269,0.473670713381118,0.719877673715656,0.806451612903226,0.398304178903237,0.0991459753586188,0.707305637544607,0.905597588261845,213,24.9530516431925,0.0985915492957746,0.298815092891188,0.0401299666831211,0.0584615826126536,0.138721515978896,0.164319248826291,0.371437964874859,0.0498829995869794,0.114436249239312,0.214202248413271
"33","Khulna","Chuadanga",34,79.4176470588235,0.411764705882353,0.499554168435642,0.16791875285396,0.243845953028393,0.579683458736313,0.823529411764706,0.386952994975947,0.130069306663861,0.693460105100844,0.953598718428567,195,47.9487179487179,0.2,0.401029602732817,0.0562879196356306,0.143712080364369,0.256287919635631,0.512820512820513,0.501122187694514,0.0703367662545675,0.442483746565945,0.58315727907508
"34","Khulna","Jessore",69,69.8391304347826,0.478260869565217,0.503186775408786,0.118730075669365,0.359530793895852,0.596990945234583,0.710144927536232,0.457018768933744,0.107836444973622,0.60230848256261,0.817981372509854,196,37.015306122449,0.178571428571429,0.383973823894152,0.0537563353451813,0.124815093226247,0.23232776391661,0.433673469387755,0.496850362357289,0.0695590507300204,0.364114418657735,0.503232520117776
"35","Khulna","Jhenaidah",54,46.4166666666667,0.259259259259259,0.442343040499889,0.117982716187342,0.141276543071917,0.377241975446602,0.62962962962963,0.487438290097003,0.130010621110637,0.499619008518993,0.759640250740267,200,48.45,0.185,0.389271965747063,0.0539503419542908,0.131049658045709,0.238950341954291,0.405,0.49212389664417,0.0682048923222039,0.336795107677796,0.473204892322204
"36","Khulna","Khulna",76,35.4434210526316,0.223684210526316,0.41948171864898,0.0943109922025574,0.129373218323758,0.317995202728873,0.381578947368421,0.489001847662709,0.109941023390689,0.271637923977732,0.49151997075911,210,32.9285714285714,0.10952380952381,0.313041510775602,0.0423397563852253,0.0671840531385842,0.151863565909035,0.404761904761905,0.492018779036515,0.0665469419367039,0.338214962825201,0.471308846698609
"37","Khulna","Kushtia",47,104.28085106383,0.276595744680851,0.452150785717527,0.129267822208329,0.147327922472522,0.40586356688918,0.404255319148936,0.496052875341062,0.141819226950495,0.262436092198441,0.546074546099431,193,30.7512953367876,0.113989637305699,0.318625204159039,0.0449528823456821,0.0690367549600173,0.158942519651382,0.310880829015544,0.464057906874393,0.0654710933630211,0.245409735652523,0.376351922378565
"38","Khulna","Magura",32,28.2125,0.1875,0.396557769456266,0.137400257078221,0.0500997429217787,0.324900257078221,0.375,0.491869376837965,0.170424044191862,0.204575955808138,0.545424044191862,198,39.2424242424242,0.156565656565657,0.364311914153568,0.0507454199019573,0.105820236663699,0.207311076467614,0.323232323232323,0.468896161987443,0.0653130784529846,0.257919244779339,0.388545401685308
"39","Khulna","Meherpur",15,115.826666666667,0.6,0.50709255283711,0.256624238917527,0.343375761082473,0.856624238917527,0.933333333333333,0.258198889747161,0.130666666666667,0.802666666666667,1.064,199,60.1256281407035,0.236180904522613,0.42580581650665,0.0591617650997393,0.177019139422874,0.295342669622352,0.623115577889447,0.485827776056935,0.067501259146281,0.555614318743166,0.690616837035728
"40","Khulna","Narail",24,88.5583333333333,0.416666666666667,0.503610155185335,0.201486025216361,0.215180641450306,0.618152691883027,0.625,0.49453535504684,0.197855349006376,0.427144650993624,0.822855349006376,189,74.0476190476191,0.253968253968254,0.436435780471985,0.0622222222222223,0.191746031746032,0.316190476190476,0.343915343915344,0.476274899642286,0.0679020464645685,0.276013297450775,0.411817390379912
"41","Khulna","Satkhira",61,133.12131147541,0.672131147540984,0.473332563687514,0.118783888265369,0.553347259275615,0.790915035806352,0.80327868852459,0.400818834019708,0.1005864021354,0.70269228638919,0.903865090659991,238,74.4327731092437,0.315126050420168,0.465545124048425,0.0591465442463897,0.255979506173778,0.374272594666558,0.487394957983193,0.500894494706013,0.0636376086087426,0.423757349374451,0.551032566591936
"42","Rajshahi","Bogra",94,17.7223404255319,0.0851063829787234,0.280536140622521,0.0567127834131765,0.0283935995655469,0.1418191663919,0.234042553191489,0.425669161120341,0.0860526664647088,0.147989886726781,0.320095219656198,194,14.5876288659794,0.0824742268041237,0.275797593905029,0.0388101820035665,0.0436640448005573,0.12128440880769,0.139175257731959,0.347024868389891,0.0488332697587387,0.0903419879732201,0.188008527490697
"43","Rajshahi","Dinajpur",94,2.9968085106383,0.0212765957446809,0.145078651583462,0.029328891909865,-0.00805229616518412,0.0506054876545458,0.0531914893617021,0.22561844642593,0.0456107012015548,0.00758078816014735,0.0988021905632569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Rajshahi","Gaibandha",71,21.6281690140845,0.0704225352112676,0.257678851173418,0.0599384727183068,0.0104840624929608,0.130361007929574,0.338028169014085,0.476405048906645,0.110816199687017,0.227211969327068,0.448844368701101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Rajshahi","Jaipurhat",40,1.495,0,0,0,0,0,0.025,0.158113883008419,0.049,-0.024,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Rajshahi","Kurigram",77,21.6766233766234,0.0909090909090909,0.289364920846097,0.0646333386461646,0.0262757522629263,0.155542429555256,0.376623376623377,0.487716511676745,0.108937691446349,0.267685685177028,0.485561068069725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Rajshahi","Lalmonirhat",39,1.57435897435897,0,0,0,0,0,0.0256410256410256,0.160128153805087,0.0502564102564103,-0.0246153846153846,0.0758974358974359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Rajshahi","Naogaon",92,6.01630434782609,0.0217391304347826,0.14662959759729,0.0299628969338951,-0.00822376649911254,0.0517020273686778,0.0543478260869565,0.227944972865301,0.0465792162051788,0.00776860988177776,0.100927042292135,189,5.58201058201058,0.0211640211640212,0.144313192127546,0.0205745906086058,0.000589430555415368,0.041738611772627,0.0793650793650794,0.271025670150349,0.0386398646274699,0.0407252147376094,0.118004943992549
"49","Rajshahi","Natore",51,1.75098039215686,0,0,0,0,0,0.0392156862745098,0.196039211763921,0.0538039215686275,-0.0145882352941177,0.0930196078431373,191,10.7329842931937,0.00523560209424084,0.0723574605292421,0.010261780104712,-0.00502617801047119,0.0154973821989529,0.0994764397905759,0.300087247348072,0.0425585602644214,0.0569178795261545,0.142035000054997
"50","Rajshahi","Nawabganj",45,7.41111111111111,0.0444444444444444,0.208409077139993,0.0608928701787681,-0.0164484257343237,0.105337314623213,0.111111111111111,0.317820863081864,0.0928607564571104,0.0182503546540008,0.203971867568221,194,11.1855670103093,0.0360824742268041,0.186977911200088,0.0263114940981716,0.00977098012863248,0.0623939683249758,0.144329896907216,0.352333177271467,0.0495802539180569,0.0947496429891596,0.193910150825273
"51","Rajshahi","Nilphamari",53,2.22830188679245,0,0,0,0,0,0.0566037735849057,0.233295317934376,0.062809329818587,-0.00620555623368138,0.119413103403493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Rajshahi","Pabna",78,32.574358974359,0.166666666666667,0.375090176747727,0.0832423746014788,0.0834242920651878,0.249909041268146,0.256410256410256,0.439477181592165,0.097531544270491,0.158878712139765,0.353941800680747,190,18.1842105263158,0.0631578947368421,0.243889397943836,0.0346794493089289,0.0284784454279132,0.097837344045771,0.0894736842105263,0.286180349474782,0.0406929411712589,0.0487807430392674,0.130166625381785
"53","Rajshahi","Panchagarh",39,2.64871794871795,0,0,0,0,0,0.0512820512820513,0.223455865030959,0.0701318872436793,-0.0188498359616281,0.121413938525731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Rajshahi","Rajshahi",78,7.87692307692308,0.0641025641025641,0.246520913458799,0.0547094738741661,0.00939309022839795,0.11881203797673,0.179487179487179,0.386243639668214,0.0857176213450249,0.0937695581421546,0.265204800832204,185,6.32432432432432,0.0108108108108108,0.103692123154222,0.0149422491672314,-0.00413143835642061,0.0257530599780422,0.0864864864864865,0.281843853395506,0.0406142815440734,0.0458722049424131,0.12710076803056
"55","Rajshahi","Rangpur",86,8.3,0.0116279069767442,0.107832773203438,0.0227906976744186,-0.0111627906976744,0.0344186046511628,0.162790697674419,0.371339867040458,0.0784835110213787,0.0843071866530399,0.241274208695797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Rajshahi","Sirajganj",89,30.8112359550562,0.235955056179775,0.426999891156904,0.0887133199602959,0.147241736219479,0.324668376140071,0.584269662921348,0.495639824415347,0.10297392397289,0.481295738948458,0.687243586894239,227,16.4537444933921,0.0484581497797357,0.215206839715373,0.027996208081631,0.0204619416981047,0.0764543578613666,0.18942731277533,0.39271364486268,0.0510880273722357,0.138339285403095,0.240515340147566
"57","Rajshahi","Thakurgaon",46,1.09347826086957,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Sylhet","Habiganj",59,22.7305084745763,0.101694915254237,0.304841126187198,0.0777863911113392,0.0239085241428981,0.179481306365576,0.525423728813559,0.503639587998848,0.128513847397266,0.396909881416294,0.653937576210825,228,32.7631578947368,0.087719298245614,0.283508649496966,0.0368006052171213,0.0509186930284928,0.124519903462735,0.342105263157895,0.475458459363282,0.0617164911589623,0.280388771998932,0.403821754316857
"59","Sylhet","Maulvibazar",53,20.5471698113208,0.113207547169811,0.319878423929766,0.0861198141837805,0.0270877329860308,0.199327361353592,0.377358490566038,0.489364387372484,0.131749961722743,0.245608528843295,0.509108452288781,180,29.8611111111111,0.111111111111111,0.31514630616471,0.0460396528115605,0.0650714582995506,0.157150763922672,0.283333333333333,0.451873814392998,0.066014143660678,0.217319189672655,0.349347476994011
"60","Sylhet","Sunamganj",71,47.9633802816901,0.394366197183099,0.492192565086837,0.114488521274711,0.279877675908388,0.508854718457809,0.845070422535211,0.364412926066165,0.0847658010261593,0.760304621509052,0.929836223561371,239,75.6066945606695,0.476987447698745,0.500518348803356,0.0634566475063179,0.413530800192427,0.540444095205063,0.933054393305439,0.250452282418095,0.0317528063467696,0.90130158695867,0.964807199652209
"61","Sylhet","Sylhet",77,22.6922077922078,0.181818181818182,0.388223779989431,0.0867147232953531,0.0951034585228287,0.268532905113535,0.441558441558442,0.499829089039615,0.11164318979177,0.329915251766671,0.553201631350212,239,15.3556485355649,0.0418410041841004,0.200645910341583,0.0254382618271052,0.0164027423569953,0.0672792660112056,0.196652719665272,0.398301658071372,0.0504974252749064,0.146155294390366,0.247150144940178
